date,date_id,wind,desc,temp,baro,hum
"Thursday, January 14, 2021, 12:00 pm — 6:00 pm",1610625600000.0,9.321,Drizzle. Partly sunny.,41.0,30.0,97
"Thursday, January 14, 2021, 6:00 pm — 12:00 am",1610647200000.0,8.7,Partly cloudy.,37.4,30.19,92
"Friday, January 15, 2021, 12:00 am — 6:00 am",1610668800000.0,6.836,Passing clouds.,33.8,30.32,96
"Friday, January 15, 2021, 6:00 am — 12:00 pm",1610690400000.0,4.971,Partly sunny.,37.4,30.43,94
"Friday, January 15, 2021, 12:00 pm — 6:00 pm",1610712000000.0,1.864,Partly sunny.,41.0,30.43,85
"Friday, January 15, 2021, 6:00 pm — 12:00 am",1610733600000.0,1.864,Passing clouds.,33.8,30.41,97
"Saturday, January 16, 2021, 12:00 am — 6:00 am",1610755200000.0,8.7,Mostly cloudy.,37.4,30.28,84
"Saturday, January 16, 2021, 6:00 am — 12:00 pm",1610776800000.0,9.943,Drizzle. More clouds than sun.,42.8,30.05,98
"Saturday, January 16, 2021, 12:00 pm — 6:00 pm",1610798400000.0,6.214,Partly sunny.,48.2,29.99,93
"Saturday, January 16, 2021, 6:00 pm — 12:00 am",1610820000000.0,7.457,Overcast.,44.6,30.05,86
"Sunday, January 17, 2021, 12:00 am — 6:00 am",1610841600000.0,9.321,Overcast.,42.8,30.09,82
"Sunday, January 17, 2021, 6:00 am — 12:00 pm",1610863200000.0,9.321,Scattered clouds.,44.6,30.21,80
"Sunday, January 17, 2021, 12:00 pm — 6:00 pm",1610884800000.0,9.321,Partly sunny.,46.4,30.27,72
"Sunday, January 17, 2021, 6:00 pm — 12:00 am",1610906400000.0,3.728,Overcast.,39.2,30.3,90
"Monday, January 18, 2021, 12:00 am — 6:00 am",1610928000000.0,5.593,Passing clouds.,37.4,30.25,95
"Monday, January 18, 2021, 6:00 am — 12:00 pm",1610949600000.0,7.457,Partly sunny.,44.6,30.2,95
"Monday, January 18, 2021, 12:00 pm — 6:00 pm",1610971200000.0,9.321,Partly sunny.,44.6,30.1,82
