day,month,date,year,time_range,date_id,wind,desc,temp,baro,hum,hour
Friday,January,1,2021,12:00 am — 6:00 am,1609459200000.0,4.971,Low clouds.,0.0,29.82,99,12
Friday,January,1,2021,6:00 am — 12:00 pm,1609480800000.0,4.971,Low clouds.,0.9999999999999984,29.86,94,6
Friday,January,1,2021,12:00 pm — 6:00 pm,1609502400000.0,4.35,Drizzle. Low clouds.,2.999999999999999,29.87,96,12
Friday,January,1,2021,6:00 pm — 12:00 am,1609524000000.0,4.971,Low clouds.,4.000000000000002,29.93,96,6
Saturday,January,2,2021,12:00 am — 6:00 am,1609545600000.0,7.457,Low clouds.,4.000000000000002,29.97,92,12
Saturday,January,2,2021,6:00 am — 12:00 pm,1609567200000.0,5.593,Partly sunny.,4.000000000000002,30.01,89,6
Saturday,January,2,2021,12:00 pm — 6:00 pm,1609588800000.0,5.593,Partly sunny.,5.0,29.98,80,12
Saturday,January,2,2021,6:00 pm — 12:00 am,1609610400000.0,5.593,Low clouds.,2.000000000000001,30.01,90,6
Sunday,January,3,2021,12:00 am — 6:00 am,1609632000000.0,6.214,Low clouds.,2.000000000000001,30.01,94,12
Sunday,January,3,2021,6:00 am — 12:00 pm,1609653600000.0,8.7,Broken clouds.,5.0,30.03,92,6
Sunday,January,3,2021,12:00 pm — 6:00 pm,1609675200000.0,10.564,Partly sunny.,5.999999999999998,30.04,81,12
Sunday,January,3,2021,6:00 pm — 12:00 am,1609696800000.0,10.564,Passing clouds.,4.000000000000002,30.09,86,6
Monday,January,4,2021,12:00 am — 6:00 am,1609718400000.0,11.185,Passing clouds.,4.000000000000002,30.09,89,12
Monday,January,4,2021,6:00 am — 12:00 pm,1609740000000.0,14.914,Partly sunny.,5.0,30.09,86,6
Monday,January,4,2021,12:00 pm — 6:00 pm,1609761600000.0,16.778,Partly sunny.,5.0,30.08,81,12
Monday,January,4,2021,6:00 pm — 12:00 am,1609783200000.0,13.671,Overcast.,4.000000000000002,30.12,80,6
Tuesday,January,5,2021,12:00 am — 6:00 am,1609804800000.0,12.428,Passing clouds.,2.999999999999999,30.11,83,12
Tuesday,January,5,2021,6:00 am — 12:00 pm,1609826400000.0,14.293,Partly sunny.,4.000000000000002,30.12,85,6
Tuesday,January,5,2021,12:00 pm — 6:00 pm,1609848000000.0,14.293,Light rain. Partly sunny.,5.0,30.09,86,12
Tuesday,January,5,2021,6:00 pm — 12:00 am,1609869600000.0,11.807,Passing clouds.,4.000000000000002,30.11,85,6
Wednesday,January,6,2021,12:00 am — 6:00 am,1609891200000.0,11.807,Passing clouds.,2.999999999999999,30.08,91,12
Wednesday,January,6,2021,6:00 am — 12:00 pm,1609912800000.0,9.943,Partly sunny.,5.0,30.1,91,6
Wednesday,January,6,2021,12:00 pm — 6:00 pm,1609934400000.0,8.7,Passing clouds.,5.0,30.09,78,12
Wednesday,January,6,2021,6:00 pm — 12:00 am,1609956000000.0,4.971,Passing clouds.,2.000000000000001,30.09,93,6
Thursday,January,7,2021,12:00 am — 6:00 am,1609977600000.0,4.971,Passing clouds.,0.0,30.08,94,12
Thursday,January,7,2021,6:00 am — 12:00 pm,1609999200000.0,4.971,Partly sunny.,2.999999999999999,30.08,90,6
Thursday,January,7,2021,12:00 pm — 6:00 pm,1610020800000.0,6.836,Passing clouds.,2.999999999999999,30.04,85,12
Thursday,January,7,2021,6:00 pm — 12:00 am,1610042400000.0,6.214,Passing clouds.,-1.0000000000000004,30.04,96,6
Friday,January,8,2021,12:00 am — 6:00 am,1610064000000.0,2.486,Low clouds.,0.0,30.01,96,12
Friday,January,8,2021,6:00 am — 12:00 pm,1610085600000.0,1.864,Fog.,2.000000000000001,30.03,93,6
Friday,January,8,2021,12:00 pm — 6:00 pm,1610107200000.0,6.214,Low clouds.,2.000000000000001,30.07,91,12
Friday,January,8,2021,6:00 pm — 12:00 am,1610128800000.0,6.836,Low clouds.,0.0,30.17,94,6
Saturday,January,9,2021,12:00 am — 6:00 am,1610150400000.0,6.214,Low clouds.,0.9999999999999984,30.24,96,12
Saturday,January,9,2021,6:00 am — 12:00 pm,1610172000000.0,3.107,Ice fog.,0.0,30.31,98,6
Saturday,January,9,2021,12:00 pm — 6:00 pm,1610193600000.0,2.486,Sunny.,2.999999999999999,30.31,89,12
Saturday,January,9,2021,6:00 pm — 12:00 am,1610215200000.0,4.971,Ice fog.,-2.000000000000001,30.34,99,6
Sunday,January,10,2021,12:00 am — 6:00 am,1610236800000.0,6.836,Low clouds.,-1.0000000000000004,30.32,100,12
Sunday,January,10,2021,6:00 am — 12:00 pm,1610258400000.0,6.836,Ice fog.,0.9999999999999984,30.3,99,6
Sunday,January,10,2021,12:00 pm — 6:00 pm,1610280000000.0,6.214,Overcast.,2.999999999999999,30.26,92,12
Sunday,January,10,2021,6:00 pm — 12:00 am,1610301600000.0,5.593,Overcast.,4.000000000000002,30.23,89,6
Monday,January,11,2021,12:00 am — 6:00 am,1610323200000.0,6.836,Low clouds.,5.0,30.14,92,12
Monday,January,11,2021,6:00 am — 12:00 pm,1610344800000.0,11.185,Partly sunny.,8.0,30.08,84,6
Monday,January,11,2021,12:00 pm — 6:00 pm,1610366400000.0,19.264,Broken clouds.,9.000000000000002,29.99,78,12
Monday,January,11,2021,6:00 pm — 12:00 am,1610388000000.0,14.914,Passing clouds.,8.0,29.91,89,6
Tuesday,January,12,2021,12:00 am — 6:00 am,1610409600000.0,14.914,Passing clouds.,9.000000000000002,29.79,95,12
Tuesday,January,12,2021,6:00 am — 12:00 pm,1610431200000.0,9.321,Partly sunny.,9.000000000000002,29.88,92,6
Tuesday,January,12,2021,12:00 pm — 6:00 pm,1610452800000.0,6.836,Broken clouds.,7.000000000000001,30.0,88,12
Tuesday,January,12,2021,6:00 pm — 12:00 am,1610474400000.0,2.486,Clear.,2.000000000000001,30.11,94,6
Wednesday,January,13,2021,12:00 am — 6:00 am,1610496000000.0,1.864,Low clouds.,2.999999999999999,30.11,99,12
